frame.len,ip.ttl,tcp.srcport,tcp.dstport,frame.time_delta_displayed
93,106.0,52813.0,443.0,1e-05
1288,106.0,52813.0,443.0,0.001614
1288,106.0,52813.0,443.0,2.2e-05
825,106.0,52813.0,443.0,0.00028
825,106.0,52813.0,443.0,1.2e-05
182,106.0,52813.0,443.0,0.034532
94,106.0,52813.0,443.0,0.002168
94,106.0,52813.0,443.0,2.1e-05
91,106.0,52813.0,443.0,0.016512
87,106.0,52813.0,443.0,0.0
94,106.0,52813.0,443.0,0.028392
94,106.0,52813.0,443.0,1.4e-05
244,106.0,52813.0,443.0,0.104877
95,106.0,52813.0,443.0,0.000547
95,106.0,52813.0,443.0,1.6e-05
724,106.0,52813.0,443.0,0.018128
96,106.0,52813.0,443.0,0.0
100,106.0,52813.0,443.0,0.000863
100,106.0,52813.0,443.0,1.3e-05
94,106.0,52813.0,443.0,0.000253
94,106.0,52813.0,443.0,1e-05
86,106.0,52813.0,443.0,0.064271
163,106.0,52813.0,443.0,0.708518
163,106.0,52813.0,443.0,1.5e-05
163,106.0,52813.0,443.0,0.026798
74,106.0,54623.0,443.0,0.804596
74,106.0,54623.0,443.0,1.4e-05
74,106.0,54622.0,443.0,0.000802
74,106.0,54622.0,443.0,1.1e-05
74,106.0,54625.0,443.0,0.000255
74,106.0,54625.0,443.0,1e-05
74,106.0,54624.0,443.0,0.000509
74,106.0,54624.0,443.0,1e-05
74,106.0,54621.0,443.0,0.0006
74,106.0,54621.0,443.0,1.2e-05
74,106.0,443.0,54623.0,0.00058
74,106.0,443.0,54622.0,0.000743
86,106.0,54672.0,443.0,0.007404
86,106.0,54672.0,443.0,1.4e-05
74,106.0,443.0,54624.0,0.023596
74,106.0,443.0,54621.0,0.001071
462,4.0,52813.0,443.0,0.015066
471,4.0,52813.0,443.0,0.004391
534,4.0,52813.0,443.0,0.004866
526,4.0,52813.0,443.0,0.004879
471,4.0,52813.0,443.0,0.004368
510,4.0,52813.0,443.0,0.009209
542,4.0,52813.0,443.0,0.009601
471,4.0,52813.0,443.0,0.003994
86,106.0,443.0,54672.0,0.0
74,106.0,54672.0,443.0,0.000324
74,106.0,54672.0,443.0,1.1e-05
328,106.0,54672.0,443.0,0.000539
328,106.0,54672.0,443.0,1.2e-05
74,106.0,443.0,54625.0,0.020501
74,106.0,443.0,54672.0,0.013604
530,4.0,52813.0,443.0,0.025866
524,4.0,52813.0,443.0,0.005366
462,4.0,52813.0,443.0,0.004338
471,4.0,52813.0,443.0,0.004442
534,4.0,52813.0,443.0,0.004836
526,4.0,52813.0,443.0,0.007074
471,4.0,52813.0,443.0,0.004569
510,4.0,52813.0,443.0,0.004774
542,4.0,52813.0,443.0,0.067638
471,4.0,52813.0,443.0,0.004595
530,4.0,52813.0,443.0,0.00489
524,4.0,52813.0,443.0,0.004756
131,106.0,443.0,54672.0,0.058963
171,106.0,443.0,54672.0,0.0
74,106.0,54672.0,443.0,0.000135
74,106.0,54672.0,443.0,1e-05
125,106.0,54672.0,443.0,0.006359
125,106.0,54672.0,443.0,1.4e-05
182,106.0,54672.0,443.0,0.000486
182,106.0,54672.0,443.0,9e-06
141,106.0,54672.0,443.0,0.000242
141,106.0,54672.0,443.0,8e-06
115,106.0,54672.0,443.0,0.000242
115,106.0,54672.0,443.0,1.2e-05
74,106.0,443.0,54672.0,0.034074
74,106.0,443.0,54672.0,0.0
74,106.0,443.0,54672.0,0.0
74,106.0,443.0,54672.0,0.0
120,106.0,443.0,54672.0,0.122485
127,106.0,443.0,54672.0,0.0
74,106.0,54672.0,443.0,0.000133
74,106.0,54672.0,443.0,1e-05
194,106.0,54672.0,443.0,0.002678
194,106.0,54672.0,443.0,1.4e-05
108,106.0,54672.0,443.0,0.000337
108,106.0,54672.0,443.0,9e-06
74,106.0,443.0,54672.0,0.034786
74,106.0,443.0,54672.0,0.0
136,106.0,443.0,54672.0,0.039848
113,106.0,443.0,54672.0,0.0
74,106.0,54672.0,443.0,0.000134
74,106.0,54672.0,443.0,1.1e-05
125,106.0,443.0,54672.0,0.00644
1154,106.0,443.0,54672.0,0.002254
112,106.0,443.0,54672.0,0.0
74,106.0,54672.0,443.0,0.000124
74,106.0,54672.0,443.0,9e-06
219,106.0,54672.0,443.0,0.014179
219,106.0,54672.0,443.0,1.5e-05
74,106.0,443.0,54672.0,0.036292
120,106.0,54672.0,443.0,0.021388
120,106.0,54672.0,443.0,1.5e-05
74,106.0,443.0,54672.0,0.033426
120,106.0,54672.0,443.0,0.012912
120,106.0,54672.0,443.0,1.7e-05
116,106.0,443.0,54672.0,0.032457
74,106.0,443.0,54672.0,0.001473
208,106.0,443.0,54672.0,0.022873
74,106.0,54672.0,443.0,0.000115
74,106.0,54672.0,443.0,1e-05
116,106.0,443.0,54672.0,0.019018
596,106.0,443.0,54672.0,0.005448
74,106.0,54672.0,443.0,0.000119
74,106.0,54672.0,443.0,1.3e-05
120,106.0,54672.0,443.0,0.015515
120,106.0,54672.0,443.0,1.7e-05
119,106.0,54672.0,443.0,0.03159
119,106.0,54672.0,443.0,1.8e-05
525,106.0,443.0,54672.0,0.012613
120,106.0,54672.0,443.0,0.02392
120,106.0,54672.0,443.0,1.6e-05
120,106.0,54672.0,443.0,0.023748
120,106.0,54672.0,443.0,1.6e-05
74,106.0,443.0,54672.0,0.010882
113,106.0,54672.0,443.0,0.010591
113,106.0,54672.0,443.0,1.6e-05
74,106.0,443.0,54672.0,0.033647
869,106.0,443.0,54672.0,0.198915
86,106.0,54673.0,443.0,0.010557
86,106.0,54673.0,443.0,1.3e-05
86,106.0,54674.0,443.0,0.000973
86,106.0,54674.0,443.0,1.1e-05
86,106.0,54675.0,443.0,0.000126
86,106.0,54675.0,443.0,1.2e-05
86,106.0,54676.0,443.0,0.000743
86,106.0,54676.0,443.0,1.2e-05
86,106.0,54677.0,443.0,0.000414
86,106.0,54677.0,443.0,1.1e-05
86,106.0,443.0,54674.0,0.000766
74,106.0,54674.0,443.0,0.000148
74,106.0,54674.0,443.0,9e-06
